,0
0,Ethiopia
1,Lebanon
2,Russia
3,Montenegro
4,Algeria
5,China
6,Hong Kong
7,Monaco
8,Tunisia
9,Lithuania
10,Czech Republic
11,Thailand
12,Serbia
13,South Korea
14,Moldova
15,Albania
16,Taiwan
17,Trinidad And Tobago
18,Kazakhstan
19,Egypt
20,Morocco
21,Ukraine
22,Pakistan
23,Indonesia
24,Singapore
25,Belarus
26,Romania
27,Armenia
28,Paraguay
29,Latvia
30,Spain
31,Bosnia And Herzegovina
32,Slovenia
33,Sri Lanka
34,Poland
35,Vietnam
36,Italy
37,Iran
38,Greece
39,Syria
40,Hungary
41,France
42,Macedonia
43,Bulgaria
44,Mongolia
45,Croatia
46,Slovakia
47,Estonia
48,Japan
49,Portugal
50,Kenya
51,Azerbaijan
52,Argentina
53,El Salvador
54,India
55,Iraq
56,Venezuela
57,Jordan
58,Sweden
59,Colombia
60,Norway
61,Ireland
62,Kyrgyzstan
63,Uzbekistan
64,New Zealand
65,Uruguay
66,Finland
67,Denmark
68,Peru
69,United Kingdom
70,Brazil
71,Afghanistan
72,Panama
73,Australia
74,Philippines
75,Ecuador
76,Israel
77,Austria
78,Cyprus
79,United Arab Emirates
80,Bolivia
81,Malta
82,Belgium
83,Switzerland
84,Malaysia
85,Mexico
86,Canada
87,Netherlands
88,Netherlands Antilles
89,Costa Rica
90,Bahrain
91,Germany
92,Dominican Republic
93,Guatemala
94,Luxembourg
95,Turkey
96,Bangladesh
97,Puerto Rico
98,Honduras
99,South Africa
100,Chile
101,Iceland
102,United States
103,Saudi Arabia
104,Ethiopia
105,Lebanon
106,Russia
107,Montenegro
108,Algeria
109,China
110,Hong Kong
111,Monaco
112,Tunisia
113,Lithuania
114,Czech Republic
115,Thailand
116,Serbia
117,South Korea
118,Moldova
119,Albania
120,Taiwan
121,Trinidad And Tobago
122,Kazakhstan
123,Egypt
124,Morocco
125,Ukraine
126,Pakistan
127,Indonesia
128,Singapore
129,Belarus
130,Romania
131,Armenia
132,Paraguay
133,Latvia
134,Spain
135,Bosnia And Herzegovina
136,Slovenia
137,Sri Lanka
138,Poland
139,Vietnam
140,Italy
141,Iran
142,Greece
143,Syria
144,Hungary
145,France
146,Macedonia
147,Bulgaria
148,Mongolia
149,Croatia
150,Slovakia
151,Estonia
152,Japan
153,Portugal
154,Kenya
155,Azerbaijan
156,Argentina
157,El Salvador
158,India
159,Iraq
160,Venezuela
161,Jordan
162,Sweden
163,Colombia
164,Norway
165,Ireland
166,Kyrgyzstan
167,Uzbekistan
168,New Zealand
169,Uruguay
170,Finland
171,Denmark
172,Peru
173,United Kingdom
174,Brazil
175,Afghanistan
176,Panama
177,Australia
178,Philippines
179,Ecuador
180,Israel
181,Austria
182,Cyprus
183,United Arab Emirates
184,Bolivia
185,Malta
186,Belgium
187,Switzerland
188,Malaysia
189,Mexico
190,Canada
191,Netherlands
192,Netherlands Antilles
193,Costa Rica
194,Bahrain
195,Germany
196,Dominican Republic
197,Guatemala
198,Luxembourg
199,Turkey
200,Bangladesh
201,Puerto Rico
202,Honduras
203,South Africa
204,Chile
205,Iceland
206,United States
207,Saudi Arabia
