,0,1,2,3,4,5,6
0,67.5,5.8,5.81,17.24,17.22,13500,0.01
1,40.63,0.88,2.25,113.52,44.38,752.44,0.13
2,40,7.53,3.19,13.27,31.36,704.06,0.14
3,30,1.25,1.47,79.79,67.82,323.9,0.31
4,28.58,3.38,3.71,29.55,26.94,383.6,0.26
5,24.28,5.02,4.41,19.92,22.67,333.12,0.3
6,20.84,3.38,2.64,29.62,37.83,596.14,0.17
7,18.8,2.84,3.6,35.23,27.77,232.86,0.43
8,18.33,4.04,2.61,24.76,38.3,212.3,0.47
9,17.37,4.55,5.34,22,18.73,300.44,0.33
10,17.13,4.75,4.99,21.07,20.06,131.14,0.76
11,16.67,2.73,3.38,36.63,29.59,114.86,0.87
12,16.48,3.56,3.93,28.12,25.47,165.45,0.6
13,16.29,2.21,1.37,45.18,72.77,182.18,0.55
14,15.96,5.9,5.36,16.96,18.67,160.18,0.62
15,15.84,8.26,9,12.1,11.11,136.2,0.73
16,15.56,4.65,3.27,21.49,30.59,468.06,0.21
17,15.38,2.51,4.96,39.82,20.16,121.84,0.82
18,15.28,1.77,2.54,56.45,39.37,176.92,0.57
19,15.1,4.13,3.43,24.19,29.13,114.64,0.87
20,14.89,3.66,3.33,27.31,30.03,149.44,0.67
21,14.58,7.52,8.65,13.31,11.56,184.62,0.54
22,14.35,3.54,3.69,28.27,27.08,89.17,1.12
23,14.34,3.35,4.25,29.87,23.56,119.87,0.83
24,14.08,2.5,1.86,40.03,53.84,141.33,0.71
25,13.87,5.08,5.24,19.69,19.09,159.83,0.63
26,13.61,2.01,2.65,49.87,37.8,75.09,1.33
27,13.58,4.31,3.92,23.2,25.52,123.07,0.81
28,12.73,3.52,4.08,28.41,24.52,123.04,0.81
29,12.68,2.86,3.24,35,30.89,100.44,1
30,12.22,3.19,2.78,31.34,36,113.72,0.88
31,12.03,2.83,2.69,35.35,37.21,97.93,1.02
32,11.82,3.94,5.48,25.38,18.26,661.87,0.15
33,11.57,3.76,3.55,26.63,28.15,66.34,1.51
34,11.27,2.3,3.75,43.49,26.69,81.92,1.22
35,11.02,3.84,3.77,26.05,26.53,120.72,0.83
36,10.92,8.95,9.34,11.17,10.71,115.82,0.86
37,10.88,4.2,7.74,23.81,12.93,75.72,1.32
38,9.82,5.4,7.35,18.51,13.61,91.37,1.09
39,9.52,4.19,5.89,23.85,16.99,212.24,0.47
40,8.61,5.9,7.91,16.95,12.64,89.71,1.11
41,8.13,3.92,4.34,25.49,23.06,61.71,1.62
42,8,5,4.71,19.99,21.21,60.72,1.65
43,7.66,3.77,3.83,26.54,26.09,71.3,1.4
44,7.64,11.83,13.76,8.45,7.27,100.92,0.99
45,7.43,6.33,5.48,15.81,18.26,230.8,0.43
46,7.19,10.25,16.19,9.76,6.18,101.05,0.99
47,6.72,8.67,7.43,11.54,13.46,202.09,0.49
48,6.5,5.91,5.38,16.93,18.58,50.39,1.98
49,6.3,3.07,4.8,32.56,20.82,58.06,1.72
50,6.29,5.39,6.85,18.55,14.59,64.03,1.56
51,6.22,3.28,4.26,30.52,23.48,42.33,2.36
52,6.2,4.58,5.33,21.81,18.77,48.07,2.08
53,5.8,10.38,9.96,9.64,10.04,74.26,1.35
54,5.74,14.4,14.22,6.94,7.03,59.79,1.67
55,5.56,6.47,5.9,15.46,16.94,75.85,1.32
56,5.41,4.56,4.47,21.94,22.37,39.34,2.54
57,5.23,6,5.61,16.66,17.84,42.78,2.34
58,5.13,4.35,4.18,23,23.94,38.94,2.57
59,5.1,12.27,7.19,8.15,13.91,57.08,1.75
60,5.03,5.56,9.39,18,10.65,75.1,1.33
61,4.76,11.6,9.4,8.62,10.64,62.92,1.59
62,4.32,4.54,4.14,22.02,24.18,30.74,3.25
63,4.28,7.75,7,12.9,14.29,33.86,2.95
64,4.19,3.4,4.32,29.38,23.17,33.85,2.95
65,4.06,10.46,5.93,9.56,16.85,50.34,1.99
66,3.54,11.27,11.62,8.88,8.61,49.79,2.01
67,2.68,8.1,10.58,12.34,9.45,21.95,4.56
68,67.5,5.8,5.81,17.24,17.22,13500,0.01
