Record Of The Year,b'Nel Blu Dipinto Di Blu (Volare)',b'Domenico Modugno'
Album Of The Year,b'The Music From Peter Gunn',b'Henry Mancini'
Song Of The Year,b'Nel Blu Dipinto Di Blu (Volare)',"b'Domenico Modugno, songwriter (Domenico Modugno)'"
"Best Vocal Performance, Female",b'Ella Fitzgerald Sings The Irving Berlin Song Book',b'Ella Fitzgerald'
"Best Vocal Performance, Male",b'Catch A Falling Star',b'Perry Como'
Best Performance By An Orchestra,b"Billy May's Big Fat Brass",b'Billy May'
Best Performance By A Dance Band,b'Basie',b'Count Basie'
Best Performance By A Vocal Group Or Chorus,b'That Old Black Magic',"b'Keely Smith, Louis Prima'"
"Best Jazz Performance, Individual",b'Ella Fitzgerald Sings The Duke Ellington Song Book',b'Ella Fitzgerald'
"Best Jazz Performance, Group",b'Basie',b'Count Basie'
Best Comedy Performance,b'The Chipmunk Song',"b'David Seville & The Chipmunks (Ross Bagdasarian, Sr.)'"
Best Country & Western Performance,b'Tom Dooley',b'The Kingston Trio'
Best Rhythm & Blues Performance,b'Tequila',b'The Champs'
Best Arrangement,b'The Music From Peter Gunn',b'Henry Mancini'
Best Engineered Record (Classical),b'Duets With A Spanish Guitar',"b'Laurindo Almeida, guitar; Salli Terri, vocals'"
Best Engineered Record - Non-Classical,b'The Chipmunk Song',b'David Seville'
Best Album Cover,b'Only The Lonely',b'Frank Sinatra'
Best Musical Composition First Recorded And Released In 1958 (Over 5 Minutes Duration),b'Cross Country Suite',b'Nelson Riddle'
Best Original Cast Album (Broadway Or TV),b'The Music Man',"b'Robert Preston, Barbara Cook, David Burns, Eddie Hodges, Pert Kelton, Helen Raymond'"
"Best Sound Track Album, Dramatic Picture Score Or Original Cast",b'Gigi',b'Andr\xc3\xa9 Previn'
"Best Performance, Documentary Or Spoken Word",b'The Best Of The Stan Freberg Shows',b'Stan Freberg'
Best Recording For Children,b'The Chipmunk Song',"b'David Seville And The Chipmunks (Ross Bagdasarian, Sr.)'"
Best Classical Performance - Orchestra,b'Gaiete Parisienne',"b'Felix Slatkin, conductor'"
Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),"b'Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23'","b'Van Cliburn, piano'"
Best Classical Performance - Instrumentalist (Other Than Concerto-Scale Accompaniment),b'Segovia Golden Jubilee',"b'Andres Segovia, guitar'"
Best Classical Performance - Chamber Music (Including Chamber Orchestra),b'Beethoven: Quartet 130',b'Hollywood String Quartet'
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),b'Operatic Recital',"b'Renata Tebaldi, soprano'"
Best Classical Performance - Operatic Or Choral,b'Virtuoso',"b'Roger Wagner, choir director'"
Record Of The Year,b'Mack The Knife',b'Bobby Darin'
Album Of The Year,b'Come Dance With Me',b'Frank Sinatra'
Song Of The Year,b'The Battle Of New Orleans',"b'Jimmy Driftwood, songwriter (Jimmy Driftwood)'"
"Best Vocal Performance, Female",b'But Not For Me',b'Ella Fitzgerald'
"Best Vocal Performance, Male",b'Come Dance With Me',b'Frank Sinatra'
Best Performance By A Dance Band,b'Anatomy Of A Murder',b'Duke Ellington'
Best Performance By An Orchestra,b'Like Young',b'David Rose And His Orchestra With Andr\xc3\xa9 Previn'
Best Performance By A Vocal Group Or Chorus,b'Battle Hymn Of The Republic',b'(Mormon Tabernacle Choir)'
Best Jazz Performance - Soloist,b'Ella Swings Lightly',b'Ella Fitzgerald'
Best Jazz Performance - Group,b'I Dig Chicks',b'Jonah Jones'
Best Classical Performance - Orchestra,b'Debussy: Images For Orchestra',"b'Charles Munch, conductor'"
Best Classical Performance - Chamber Music (Including Chamber Orchestra),b'Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat',"b'Artur Rubinstein, piano'"
Best Classical Performance - Concerto Or Instrumental Soloist (With Full Orchestral Accompaniment),b'Rachmaninoff: Piano Concerto No. 3',"b'Van Cliburn, piano'"
Best Classical Performance - Opera Cast Or Choral,b'Mozart: The Marriage Of Figaro',"b'Erich Leinsdorf, conductor'"
Best Classical Performance - Concerto Or Instrumental Soloist (Other Than Full Orchestral Accompaniment),b'Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat',"b'Artur Rubinstein, piano'"
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),b'Bjoerling In Opera',"b'Jussi Bjoerling, tenor'"
Best Musical Composition First Recorded And Released In 1959 (More Than 5 Minutes Duration),b'Anatomy Of A Murder',b'Duke Ellington'
Best Sound Track Album - Background Score From A Motion Picture Or Television,b'Anatomy Of A Murder',b'Duke Ellington'
"Best Sound Track Album, Original Cast - Motion Picture Or Television",b'Porgy And Bess',b'Various Artists'
Best Broadway Show Album,b'Gypsy',b'Ethel Merman And Broadway Show Cast'
Best Comedy Performance - Spoken Word,b'Inside Shelley Berman',b'Shelley Berman'
Best Comedy Performance - Musical,b'The Battle Of Kookamonga',b'Homer And Jethro'
Best Performance - Documentary Or Spoken Word (Other Than Comedy),b'A Lincoln Portrait',b'Carl Sandburg'
Best Performance By A "Top 40" Artist,b'Midnight Flyer',b'Nat "King" Cole'
Best Country & Western Performance,b'The Battle Of New Orleans',b'Johnny Horton'
Best Rhythm & Blues Performance,b"What A Diff'rence A Day Makes",b'Dinah Washington'
Best Performance - Folk,b'The Kingston Trio At Large',b'The Kingston Trio'
Best Recording For Children,b'Peter And The Wolf',"b'Peter Ustinov (Herbert von Karajan, cond.)'"
Best Arrangement,b'Come Dance With Me',b'Frank Sinatra'
Best Engineering Contribution - Classical Recording,"b'Victory At Sea, Vol. I'","b'Robert Russell Bennett, conductor'"
Best Engineering Contribution - Novelty Recording,b"Alvin's Harmonica",b'David Seville'
Best Engineering Contribution - Other Than Classical Or Novelty,b'Belafonte At Carnegie Hall',b'Harry Belafonte'
Best Album Cover,b'Shostakovich: Symphony No. 5',"b'Howard Mitchell, conductor'"
Best New Artist Of 1959,b'Bobby Darin',b'Bobby Darin'
Record Of The Year,b'The Theme From A Summer Place',b'Percy Faith & His Orchestra'
Album Of The Year,b'The Button-Down Mind Of Bob Newhart',b'Bob Newhart'
Song Of The Year,b'Theme From Exodus',"b'Ernest Gold, songwriter (Ernest Gold)'"
"Best Vocal Performance Single Record Or Track, Female",b'Mack The Knife',b''
"Best Vocal Performance Album, Female",b'Mack The Knife - Ella In Berlin',b'Ella Fitzgerald'
"Best Vocal Performance Single Record Or Track, Male",b'Georgia On My Mind',b''
"Best Vocal Performance Album, Male",b'The Genius Of Ray Charles',b'Ray Charles'
Best Arrangement,b'Mr. Lucky',b'Henry Mancini'
Best Performance By A Band For Dancing,b'Dance With Basie',b''
Best Performance By An Orchestra,b'Mr. Lucky',b'Henry Mancini'
Best Performance By A Vocal Group (2 To 6),b'We Got Us',b'Eydie Gorme & Steve Lawrence'
Best Performance By A Chorus (7 Or More Persons),b'Songs Of The Cowboy',b'Norman Luboff Choir'
Best Jazz Performance Solo Or Small Group,b'West Side Story',b'Andr\xc3\xa9 Previn'
Best Jazz Performance Large Group,b'Blues And The Beat',b'Henry Mancini'
Best Classical Performance - Orchestra,"b'Bart\xc3\xb3k: Music For Strings, Percussion And Celeste'","b'Fritz Reiner, conductor'"
Best Classical Performance - Vocal Or Instrumental - Chamber Music,b'Conversations With The Guitar',"b'Laurindo Almeida, guitar'"
